2025-11-04 17:06:22,698 INFO cli kfiririririr
2025-11-04 17:06:41,152 INFO cli.py kfiririririr
2025-11-04 17:08:11,509 INFO cli.py args: ['kfir', 'mor']
2025-11-05 14:03:37,071 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:03:58,569 | INFO | connector.api | Get json
2025-11-05 14:03:58,585 | INFO | connector.api | Get json
2025-11-05 14:03:58,585 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:12:09,471 | INFO | connector.api | Get json
2025-11-05 14:12:09,489 | INFO | connector.api | Get json
2025-11-05 14:12:09,489 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:14:06,211 | INFO | connector.api | Get json
2025-11-05 14:14:06,225 | INFO | connector.api | Get json
2025-11-05 14:14:06,227 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:14:43,757 | INFO | connector.api | Get json
2025-11-05 14:14:43,767 | INFO | connector.api | Get json
2025-11-05 14:14:43,768 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:15:45,078 | INFO | connector.api | Get json
2025-11-05 14:15:45,091 | INFO | connector.api | Get json
2025-11-05 14:15:45,092 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:16:11,730 | INFO | connector.api | Get json
2025-11-05 14:16:11,745 | INFO | connector.api | Get json
2025-11-05 14:16:11,746 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:16:19,876 | INFO | connector.api | Get json
2025-11-05 14:16:19,889 | INFO | connector.api | Get json
2025-11-05 14:16:19,889 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:16:45,026 | INFO | connector.api | Get json
2025-11-05 14:16:45,037 | INFO | connector.api | Get json
2025-11-05 14:16:45,039 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:19:14,945 | INFO | connector.api | Get json
2025-11-05 14:19:14,955 | INFO | connector.api | Get json
2025-11-05 14:19:54,201 | INFO | connector.api | Get json
2025-11-05 14:19:54,214 | INFO | connector.api | Get json
2025-11-05 14:20:30,103 | INFO | connector.api | Get json
2025-11-05 14:20:30,116 | INFO | connector.api | Get json
2025-11-05 14:20:48,749 | INFO | connector.api | Get json
2025-11-05 14:20:48,761 | INFO | connector.api | Get json
2025-11-05 14:20:48,761 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:37:59,995 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:38:16,653 | INFO | connector.api | Get json
2025-11-05 14:38:16,664 | INFO | connector.api | Get json
2025-11-05 14:38:16,664 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:38:53,123 | INFO | connector.api | Get json
2025-11-05 14:38:53,133 | INFO | connector.api | Get json
2025-11-05 14:38:53,133 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:39:20,133 | INFO | connector.api | Get json
2025-11-05 14:39:20,145 | INFO | connector.api | Get json
2025-11-05 14:39:20,145 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:39:37,158 | INFO | connector.api | Get json
2025-11-05 14:39:37,170 | INFO | connector.api | Get json
2025-11-05 14:39:37,171 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:47:27,742 | INFO | connector.api | Get json
2025-11-05 14:47:27,755 | INFO | connector.api | Get json
2025-11-05 14:47:27,756 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:48:41,329 | INFO | connector.api | Get json
